adcode,name,longitude,latitude
110100000000,北京市,,
110000000000,北京市,,
110101000000,东城区,,
110101001000,东华门街道,,
110101002000,景山街道,,
110101003000,交道口街道,,
110101004000,安定门街道,,
110101005000,北新桥街道,,
110101006000,东四街道,,
110101007000,朝阳门街道,,
110101008000,建国门街道,,
110101009000,东直门街道,,
110101010000,和平里街道,,
110101011000,前门街道,,
110101012000,崇文门外街道,,
110101013000,东花市街道,,
110101014000,龙潭街道,,
110101015000,体育馆路街道,,
110101016000,天坛街道,,
110101017000,永定门外街道,,
110102000000,西城区,,
110102001000,西长安街街道,,
110102003000,新街口街道,,
110102007000,月坛街道,,
110102009000,展览路街道,,
110102010000,德胜街道,,
110102011000,金融街街道,,
110102012000,什刹海街道,,
110102013000,大栅栏街道,,
110102014000,天桥街道,,
110102015000,椿树街道,,
110102016000,陶然亭街道,,
110102017000,广安门内街道,,
110102018000,牛街街道,,
110102019000,白纸坊街道,,
110102020000,广安门外街道,,
110105000000,朝阳区,,
110105001000,建外街道,,
110105002000,朝外街道,,
110105003000,呼家楼街道,,
110105004000,三里屯街道,,
110105005000,左家庄街道,,
110105006000,香河园街道,,
110105007000,和平街街道,,
110105008000,安贞街道,,
110105009000,亚运村街道,,
110105010000,小关街道,,
110105011000,酒仙桥街道,,
110105012000,麦子店街道,,
110105013000,团结湖街道,,
110105014000,六里屯街道,,
110105015000,八里庄街道,,
110105016000,双井街道,,
110105017000,劲松街道,,
110105018000,潘家园街道,,
110105019000,垡头街道,,
110105025000,大屯街道,,
110105026000,望京街道,,
110105031000,奥运村街道,,
110105043000,首都机场街道,,
110105044000,东湖街道,,
110105221000,南磨房乡,,
110105222000,高碑店乡,,
110105223000,将台乡,,
110105224000,太阳宫乡,,
110105227000,小红门乡,,
110105228000,十八里店乡,,
110105229000,平房乡,,
110105230000,东风乡,,
110105232000,来广营乡,,
110105233000,常营回族乡,,
110105234000,三间房乡,,
110105235000,管庄乡,,
110105236000,金盏乡,,
110105237000,孙河乡,,
110105238000,崔各庄乡,,
110105239000,东坝乡,,
110105240000,黑庄户乡,,
110105241000,豆各庄乡,,
110105242000,王四营乡,,
110106000000,丰台区,,
110106001000,右安门街道,,
110106002000,太平桥街道,,
110106003000,西罗园街道,,
110106004000,大红门街道,,
110106005000,南苑街道,,
110106006000,东高地街道,,
110106007000,东铁匠营街道,,
110106008000,六里桥街道,,
110106009000,丰台街道,,
110106010000,新村街道,,
110106011000,长辛店街道,,
110106012000,云岗街道,,
110106013000,方庄街道,,
110106014000,宛平城街道,,
110106015000,马家堡街道,,
110106016000,和义街道,,
110106018000,花乡街道,,
110106020000,成寿寺街道,,
110106021000,石榴庄街道,,
110106100000,北宫镇,,
110106101000,王佐镇,,
110106201000,卢沟桥乡,,
110107000000,石景山区,,
110107001000,八宝山街道,,
110107002000,老山街道,,
110107003000,八角街道,,
110107004000,古城街道,,
110107005000,苹果园街道,,
110107006000,金顶街街道,,
110107009000,广宁街道,,
110107010000,五里坨街道,,
110107011000,鲁谷街道,,
110108000000,海淀区,,
110108001000,万寿路街道,,
110108002000,永定路街道,,
110108003000,羊坊店街道,,
110108004000,甘家口街道,,
110108005000,八里庄街道,,
110108006000,紫竹院街道,,
110108007000,北下关街道,,
110108008000,北太平庄街道,,
110108010000,学院路街道,,
110108011000,中关村街道,,
110108012000,海淀街道,,
110108013000,青龙桥街道,,
110108014000,清华园街道,,
110108015000,燕园街道,,
110108016000,香山街道,,
110108017000,清河街道,,
110108018000,花园路街道,,
110108019000,西三旗街道,,
110108020000,马连洼街道,,
110108021000,田村路街道,,
110108022000,上地街道,,
110108025000,曙光街道,,
110108101000,温泉镇,,
110108102000,四季青镇,,
110108103000,西北旺镇,,
110108104000,苏家坨镇,,
110108105000,上庄镇,,
110108123000,海淀镇,,
110108124000,东升镇,,
110109000000,门头沟区,,
110109001000,大峪街道,,
110109002000,城子街道,,
110109003000,东辛房街道,,
110109004000,大台街道,,
110109101000,潭柘寺镇,,
110109102000,永定镇,,
110109103000,龙泉镇,,
110109104000,军庄镇,,
110109105000,雁翅镇,,
110109106000,斋堂镇,,
110109107000,清水镇,,
110109108000,妙峰山镇,,
110109109000,王平镇,,
110111000000,房山区,,
110111001000,城关街道,,
110111002000,新镇街道,,
110111004000,向阳街道,,
110111005000,东风街道,,
110111006000,迎风街道,,
110111007000,星城街道,,
110111011000,拱辰街道,,
110111012000,西潞街道,,
110111101000,阎村镇,,
110111103000,窦店镇,,
110111104000,石楼镇,,
110111105000,长阳镇,,
110111107000,河北镇,,
110111108000,长沟镇,,
110111109000,大石窝镇,,
110111110000,张坊镇,,
110111111000,十渡镇,,
110111112000,青龙湖镇,,
110111115000,韩村河镇,,
110111116000,良乡镇,,
110111117000,周口店镇,,
110111118000,琉璃河镇,,
110111208000,霞云岭乡,,
110111209000,南窖乡,,
110111210000,佛子庄乡,,
110111211000,大安山乡,,
110111212000,史家营乡,,
110111213000,蒲洼乡,,
110112000000,通州区,,
110112001000,中仓街道,,
110112002000,新华街道,,
110112003000,北苑街道,,
110112004000,玉桥街道,,
110112005000,潞源街道,,
110112006000,通运街道,,
110112009000,文景街道,,
110112010000,九棵树街道,,
110112011000,临河里街道,,
110112012000,杨庄街道,,
110112013000,潞邑街道,,
110112104000,宋庄镇,,
110112105000,张家湾镇,,
110112106000,漷县镇,,
110112109000,马驹桥镇,,
110112110000,西集镇,,
110112114000,台湖镇,,
110112117000,永乐店镇,,
110112119000,潞城镇,,
110112120000,永顺镇,,
110112121000,梨园镇,,
110112209000,于家务回族乡,,
110113000000,顺义区,,
110113001000,胜利街道,,
110113002000,光明街道,,
